#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00147  0.91422  0.011584  0.006493  0.001776     1.784
   0.00679  0.99339  0.00299  0.92210  0.011018  0.006279  0.001913     1.755
   0.01827  0.98219  0.00552  0.93652  0.010087  0.005913  0.002174     1.706
   0.03135  0.96942  0.00837  0.95216  0.009213  0.005547  0.002461     1.661
   0.04588  0.95522  0.01148  0.96875  0.008408  0.005189  0.002770     1.620
   0.06161  0.93985  0.01477  0.98549  0.007698  0.004855  0.003087     1.586
   0.07818  0.92363  0.01818  1.00196  0.007081  0.004549  0.003404     1.557
   0.09531  0.90685  0.02162  1.01757  0.006557  0.004278  0.003709     1.533
   0.11278  0.88972  0.02505  1.03246  0.006102  0.004033  0.004003     1.513
   0.13045  0.87238  0.02844  1.04634  0.005713  0.003815  0.004280     1.497
   0.14824  0.85490  0.03178  1.05942  0.005372  0.003619  0.004542     1.485
   0.16609  0.83736  0.03504  1.07172  0.005073  0.003441  0.004789     1.474
   0.18397  0.81976  0.03823  1.08331  0.004807  0.003277  0.005019     1.467
   0.20188  0.80212  0.04134  1.09426  0.004569  0.003127  0.005231     1.461
   0.21979  0.78447  0.04438  1.10467  0.004356  0.002988  0.005424     1.458
   0.23771  0.76679  0.04733  1.11452  0.004166  0.002858  0.005592     1.458
   0.25563  0.74911  0.05021  1.12387  0.003996  0.002736  0.005728     1.460
   0.27355  0.73141  0.05300  1.13285  0.003846  0.002622  0.005828     1.467
   0.29145  0.71371  0.05571  1.14127  0.003720  0.002515  0.005869     1.479
   0.30935  0.69601  0.05833  1.14920  0.003619  0.002416  0.005834     1.498
   0.32723  0.67830  0.06087  1.15663  0.003550  0.002324  0.005691     1.528
   0.34510  0.66060  0.06332  1.16352  0.003524  0.002239  0.005395     1.574
   0.36295  0.64291  0.06568  1.17008  0.003559  0.002160  0.004889     1.648
   0.38079  0.62522  0.06794  1.17687  0.003686  0.002086  0.004107     1.767
   0.39859  0.60755  0.07012  1.18591  0.003947  0.002003  0.003021     1.971
   0.41638  0.58988  0.07220  1.20143  0.004390  0.001882  0.001990     2.332
   0.43414  0.57224  0.07418  1.23004  0.005014  0.001679  0.000805     2.986
   0.45186  0.55461  0.07605  1.27376  0.005694  0.001382 -0.000151     4.121
   0.46955  0.53701  0.07783  1.30473  0.006164  0.001179 -0.000386     5.227
   0.48721  0.51943  0.07949  1.30853  0.006322  0.001156 -0.000396     5.468
   0.50482  0.50189  0.08105  1.31216  0.006286  0.001134 -0.000405     5.540
   0.52238  0.48438  0.08249  1.31578  0.006118  0.001113 -0.000414     5.495
   0.53989  0.46692  0.08381  1.31953  0.005860  0.001092 -0.000423     5.366
   0.55734  0.44952  0.08500  1.32353  0.005535  0.001070 -0.000430     5.171
   0.57471  0.43218  0.08607  1.32791  0.005167  0.001048 -0.000429     4.931
   0.59199  0.41493  0.08700  1.33280  0.004771  0.001024 -0.000406     4.659
   0.60913  0.39781  0.08780  1.33832  0.004357  0.000999 -0.000335     4.363
   0.62610  0.38085  0.08842  1.34448  0.003963  0.000972 -0.000199     4.078
   0.64295  0.36400  0.08886  1.35133  0.003612  0.000943  0.000002     3.829
   0.65969  0.34727  0.08912  1.35893  0.003300  0.000913  0.000265     3.614
   0.67633  0.33063  0.08918  1.36720  0.003029  0.000881  0.000571     3.438
   0.69287  0.31409  0.08904  1.37592  0.002795  0.000848  0.000904     3.295
   0.70931  0.29765  0.08871  1.38490  0.002593  0.000815  0.001251     3.180
   0.72565  0.28132  0.08817  1.39393  0.002416  0.000783  0.001602     3.087
   0.74186  0.26512  0.08741  1.40290  0.002259  0.000750  0.001960     3.010
   0.75795  0.24906  0.08644  1.41169  0.002120  0.000719  0.002312     2.949
   0.77390  0.23316  0.08524  1.42029  0.001994  0.000688  0.002670     2.898
   0.78968  0.21745  0.08382  1.42869  0.001877  0.000658  0.003038     2.853
   0.80527  0.20194  0.08216  1.43679  0.001769  0.000628  0.003406     2.817
   0.82063  0.18670  0.08028  1.44465  0.001667  0.000598  0.003789     2.786
   0.83573  0.17175  0.07816  1.45226  0.001571  0.000570  0.004188     2.759
   0.85050  0.15717  0.07581  1.45960  0.001479  0.000541  0.004608     2.735
   0.86487  0.14302  0.07325  1.46664  0.001392  0.000513  0.005047     2.715
   0.87876  0.12941  0.07049  1.47338  0.001308  0.000485  0.005517     2.697
   0.89206  0.11643  0.06756  1.47983  0.001227  0.000458  0.006027     2.680
   0.90468  0.10420  0.06450  1.48586  0.001150  0.000431  0.006564     2.667
   0.91650  0.09280  0.06136  1.49154  0.001076  0.000406  0.007154     2.653
   0.92746  0.08231  0.05819  1.49676  0.001006  0.000381  0.007793     2.641
   0.93752  0.07276  0.05503  1.50149  0.000939  0.000357  0.008495     2.629
   0.94667  0.06415  0.05192  1.50565  0.000876  0.000335  0.009262     2.616
   0.95496  0.05643  0.04889  1.50912  0.000818  0.000314  0.010078     2.605
   0.96245  0.04954  0.04596  1.51201  0.000762  0.000294  0.011009     2.592
   0.96922  0.04340  0.04312  1.51401  0.000709  0.000275  0.012011     2.579
   0.97534  0.03792  0.04040  1.51508  0.000661  0.000258  0.013095     2.566
   0.98089  0.03303  0.03776  1.51521  0.000614  0.000241  0.014350     2.549
   0.98595  0.02865  0.03522  1.51394  0.000571  0.000225  0.015701     2.533
   0.99059  0.02473  0.03275  1.51113  0.000530  0.000210  0.017180     2.517
   0.99484  0.02121  0.03035  1.50653  0.000491  0.000196  0.018809     2.501
   0.99878  0.01805  0.02801  1.49979  0.000454  0.000183  0.020669     2.481
   1.00243  0.01521  0.02572  1.49016  0.000419  0.000170  0.022731     2.461
   1.00584  0.01265  0.02347  1.47687  0.000387  0.000159  0.024857     2.442
